Reference Handle,Token,Item Name,Variation Name,Unit and Precision,SKU,Description,Category,GTIN,Square Online Item Visibility,Item Type,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Archived,Skip Detail Screen in POS,Default Unit Cost,Current Quantity MacGillivray LLC,Stock Alert Enabled MacGillivray LLC,Stock Alert Count MacGillivray LLC,Modifier Set - Woven Basket,Tax - Sales Tax (6.25%)
#11-madison-vermouth-regular,OO2NYD3XU3CPLJDJTHGBZHPS,11 Madison Vermouth,Regular,NA,11MV,NA,Alcohol-Free,NA,visible,Physical good,NA,NA,NA,NA,35.00,N,NA,25,0,NA,NA,N,N
#1808-beira-altitude-vineyards-red-blend--regular,QTDMJ7YJK6DNGIPML34XKS7T,1808 Beira Altitude Vineyards (Red Blend),Regular,NA,NA,"Bin 126

Value driven - 1808 Beira Altitude Vineyards is a red blend that hails from the Beira Interior region of Portugal. The wine is made using a blend of traditional Portuguese grape varieties, including Touriga Nacional, Tinta Roriz, and Jaen. The winemakers at 1808 Beira Altitude Vineyards take great care in producing this wine, ensuring that only the finest grapes are used and that the wine is aged to perfection. The result is a wine that is rich and full-bodied, with flavors of blackberry, black cherry, and plum. The wine has a smooth and velvety texture, with soft tannins and a long, satisfying finish. Whether you're a fan of Portuguese wines or just looking for a delicious and unique red blend, 1808 Beira Altitude Vineyards is sure to impress.",Wine,5600816900874,visible,Prepared food and beverage,N,N,Y,Y,12.00,N,N,5.34,0,N,0,N,N
#2013-valdicava-brunello-sangiovese-grosso--regular,OWOAZQALFUSFZ3M6R3ST5KNS,2013 Valdicava Brunello (Sangiovese Grosso),Regular,NA,2013 Valdicava Brunello,NA,Wine,NA,visible,Prepared food and beverage,N,N,N,Y,140.00,N,N,99,1,Y,5,N,N
#2015-valdicava-brunello-sangiovese-grosso--regular,52D7BF6ZU4K7FBOP4FSBM5WA,2015 Valdicava Brunello (Sangiovese Grosso),Regular,NA,2015 Valdicava Brunello $170,NA,Wine,NA,visible,Prepared food and beverage,N,N,N,Y,170.00,N,N,121,1,N,0,N,N
#24k-gold-plate-regular,JQMO2VYRMLYGJSFGCOIAABEF,24K Gold Plate,Regular,NA,24KGP,NA,Merchandise (non-food),NA,unavailable,Physical good,N,N,N,N,60.00,Y,N,30,0,NA,NA,N,Y
#3-pack-cookies-regular,7LTEWFAENP3IZPRACCHYYHUV,3 pack cookies,Regular,NA,NA,NA,FOOD,NA,visible,Prepared food and beverage,NA,NA,Y,Y,5.00,N,NA,NA,NA,NA,NA,N,N
#33-books-beer-regular,FFFGKRD3FB5ZS4DAMHHEX7ZS,33 Books Beer,Regular,NA,NA,NA,Books,689466289336,visible,Prepared food and beverage,NA,NA,NA,NA,6.00,N,NA,2.5,8,NA,NA,N,Y
#33-bottles-of-wine-hardcover--regular,DC3PFPFUY3PN2G2VBJGAICKZ,33 Bottles of Wine (Hardcover),Regular,NA,NA,NA,Books,689466289343,visible,Prepared food and beverage,NA,NA,NA,NA,6.00,N,NA,NA,0,NA,NA,N,Y
#33-pieces-of-cheese-regular,RUMU7XPLDYTBOVCHR4SSOXH6,33 Pieces of Cheese,Regular,NA,NA,NA,Books,689466289367,visible,Prepared food and beverage,NA,NA,NA,NA,6.00,N,NA,NA,10,NA,NA,N,Y
#33-tins-of-fish-paperback--regular,ADQ7KL2DKYNO2SRNDR4NIN7Z,33 Tins of Fish (Paperback),Regular,NA,NA,NA,Books,689466940053,visible,Prepared food and beverage,NA,NA,NA,NA,6.00,N,NA,NA,0,NA,NA,N,Y
#4-oz-all-natural-irish-cured-salmon-homarus--default,TLKMEDGQTNRYP5HKXG6NWN5R,4 Oz All Natural Irish Cured Salmon (Homarus),default,NA,00034,"Enjoy this thinly sliced 4 Oz. Package of All Natural Irish Cured Salmon - it ships directly from the factory! We offer our Homarus Smoked Fish brand as an all-natural, naturally smoked, thinly sliced product, sustainably farmed and BAP certified at the source. We are proud to offer such delicious and special items.

Our Smoked Salmon is naturally cured and smoked in our state of the art facility in Brooklyn, New York, and, all of our products are certified kosher. We process our smoked fish with the finest ingredients and each piece is carefully crafted into a special treat. Please enjoy our smoked fish products as a small respite in today's hurried world.

Buy our Smoked Fish online and see what we can do for you!",FOOD,NA,visible,Prepared food and beverage,N,N,Y,Y,10.80,N,N,5.4,0,NA,NA,N,N
#4-oz-all-natural-norwegian-salmon-homarus--default,ICFKUG46A3PNZ5JAYFTREAQE,4 Oz All Natural Norwegian Salmon (Homarus),default,NA,00033,"Enjoy this thinly sliced 4 Oz. Package of All Natural Smoked Norwegian Salmon ships direct from the factory! We offer our Homarus Smoked Fish brand as an all-natural, naturally smoked, thinly sliced product, sustainably farmed and BAP certified at the source. We are proud to offer such delicious and special items.

Our Smoked Salmon is naturally cured and smoked in our state of the art facility in Brooklyn, New York, and, all of our products are certified kosher. We process our smoked fish with the finest ingredients and each piece is carefully crafted into a special treat. Please enjoy our smoked fish products as a small respite in today's hurried world.

Buy our Smoked Fish online and see what we can do for you!",FOOD,NA,visible,Prepared food and beverage,N,N,Y,Y,10.80,N,N,5.4,0,NA,NA,N,N
#4-oz-all-natural-smoked-salmon-homarus--default,TXT5PUB3AWKSO54BPTTPR5G2,4 Oz All Natural Smoked Salmon (Homarus),default,NA,00032,"Enjoy this thinly sliced 4 Oz. Package of All Natural Smoked Salmon ships direct from the factory! We offer our Homarus Smoked Fish brand as an all natural, naturally smoked, thinly sliced product, sustainably farmed and BAP certified at the source. We are proud to offer such delicious and special items.

Our Smoked Salmon is naturally cured and smoked in our state of the art facility in Brooklyn, New York, and, all of our products are certified kosher. We process our smoked fish with the finest ingredients and each piece is carefully crafted into a special treat. Please enjoy our smoked fish products as a small respite in today's hurried world.

Buy our Smoked Fish online and see what we can do for you!",FOOD,NA,visible,Prepared food and beverage,N,N,Y,Y,10.80,N,N,5.4,0,NA,NA,N,N
#5-pc-chocolate-truffles-regular,5CSMCW74CSCC32ZAJAHO6ZCH,5 PC. chocolate truffles,Regular,NA,745558096609,NA,FOOD,NA,unavailable,Physical good,N,N,N,N,7.00,N,N,3.5,0,NA,NA,N,N
#6-furlongs-cabernet-sauvignon--regular,GVBAOUL6ARUBYOBU6EG6JPZH,6 Furlongs (Cabernet Sauvignon),Regular,NA,F798372,"Bin 107
6 Furlongs Cabernet Sauvignon is a premium wine crafted by the expert winemakers at 6 Furlongs Vineyards. The winery is located in the heart of California's wine country and is known for producing some of the best Cabernet Sauvignon in the region.
The winemaker at 6 Furlongs Vineyards is a skilled artisan who has dedicated his life to the art of winemaking. He uses only the finest grapes to create this exceptional Cabernet Sauvignon, handpicking each grape to ensure its quality and flavor. The winemaker carefully monitors the fermentation process and ages the wine in oak barrels for 18 months to give it a smooth and velvety texture.
The result is a wine that is full-bodied and complex, with aromas of black currant, blackberry, and a hint of vanilla on the nose. On the palate, the wine is intense and robust, with flavors of dark fruit, oak, and a touch of spice. The finish is long and lingering, with a velvety texture that leaves a lasting impression.
6 Furlongs Cabernet Sauvignon is the perfect wine f",Wine,890841000761,visible,Prepared food and beverage,N,N,N,Y,16.00,N,N,10,10,Y,12,N,N
#9-di-dante-inferno-rosso-vermouth-regular,JROZ7KJ6D52SXGVYGS76YWYK,9 Di Dante Inferno Rosso Vermouth,Regular,NA,7649990243016,Bin 231,Vermouth,7649990243016,NA,Prepared food and beverage,NA,NA,NA,NA,34.00,N,NA,23.33,7,NA,NA,N,N
#9di-dante-ros-vermouth-regular,26X7XB7KKKK4OP2QOLGRIVPD,9di Dante Rosé Vermouth,Regular,NA,NA,NA,Wine,7649990243054,visible,Prepared food and beverage,N,N,N,N,35.00,N,N,24,0,NA,NA,N,N
#arrabbiata-sugo-di-pomodoro-e-peperoncino-250g-default,R3YHJUPOZIBMLTIVWB6ZQARR,ARRABBIATA - sugo di pomodoro e peperoncino 250g,default,NA,8051513030383,"Sugo classico di pomodoro con peperoncino piccante in olio evo.
Conservare in luogo fresco e asciutto non esporre ai raggi di sole. Dopo l’apertura conservare in frigo e consumare entro una settimana.
ARRABBIATA - tomato sauce with chili pepper 250g
Tomato sauce with chili pepper in extra virgin olive oil.
Store in a cool and dry place, keep away from direct sunlight. After opening, keep refrigerated and use within a week.",FOOD,NA,hidden,Prepared food and beverage,NA,NA,N,Y,10.00,N,N,5.2,0,Y,10,N,N
#abbaye-st-remy-trappistes-rochefort-10-regular,FP5LKXNLLIIB444LARZIUISV,Abbaye St. Remy Trappistes Rochefort 10,Regular,NA,NA,NA,Beer,085725165036,hidden,Prepared food and beverage,NA,NA,NA,Y,7.00,N,NA,4.8,0,N,0,N,N
#abstinence-cape-citrus-regular,K6OI6SRIWLDHGYWVPBJYF3NM,Abstinence Cape Citrus,Regular,NA,NA,NA,Alcohol-Free,850050187035,hidden,Prepared food and beverage,NA,NA,Y,Y,34.00,N,N,24.5,0,Y,5,N,N
#abstinence-cape-spice-regular,6CBR6TMKVBWG4ZUUP4KJ3RJ2,Abstinence Cape Spice,Regular,NA,850050187028,NA,Alcohol-Free,NA,hidden,Prepared food and beverage,NA,NA,Y,Y,34.00,N,N,24.5,0,Y,5,N,N
#abstinence-spirits-cape-floral-award-winning-non-alcoholic-spirit-calorie-free-regular,E26KXW6MQPEAYQQO5WSJRVTP,Abstinence Spirits Cape Floral | Award Winning Non-Alcoholic Spirit | Calorie-Free,Regular,NA,NA,NA,Alcohol-Free,606110826518,hidden,Prepared food and beverage,N,N,Y,Y,34.00,N,N,NA,0,Y,5,N,N
#abstinence-s-epilogue-x-regular,AKIQ3HE5RZF6MCCOMKRBJJZ2,Abstinence's Epilogue X,Regular,NA,NA,NA,Alcohol-Free,850050187059,hidden,Prepared food and beverage,NA,NA,Y,Y,34.00,N,N,24.5,0,Y,5,N,N
#acetaia-leonardi-sigillo-argento-balsamic-vinegar-igp-silver-seal--regular,XJ4FITBBCWVVQLQ36PBKWG5N,Acetaia Leonardi Sigillo Argento Balsamic Vinegar IGP (Silver Seal),Regular,NA,793232526584,NA,FOOD,793232526584,visible,Prepared food and beverage,NA,NA,NA,NA,17.00,N,NA,11.66,0,NA,NA,N,N
#acor-portuguese-sardines-in-olive-oil-regular,6WEKE6TY4MZHRGBVOJJJY2OL,Acor Portuguese Sardines In Olive Oil,Regular,NA,5601943002479,NA,Tinned Fish,NA,hidden,Prepared food and beverage,NA,NA,Y,Y,8.00,N,N,5.59,0,NA,NA,N,N
